Station,Reading,Time,Date,height_sea_level_m,X,Y,longitude,latitude,gravity_mgal,TideCorr,Source
104,2097.57,15:22:00,2019/12/09,843.97,251708.898811825,7716579.61496437,-41.3827625,-20.6336207777778,978448.865162243,-0.0501933060586452,09122019_996
105,2100.9,15:45:00,2019/12/09,833.97,251562.596256249,7716349.16819936,-41.3841980277778,-20.6356819166667,978452.200092398,-0.0617769025266171,09122019_996
106,2099.22,16:08:00,2019/12/09,838.33,251346.976177961,7716475.51743792,-41.3862481388889,-20.6345126388889,978450.500860179,-0.0699678733944893,09122019_996
107,2098.67,16:28:00,2019/12/09,834.37,251013.838781692,7716719.45192941,-41.3894086666667,-20.6322661666667,978449.942073138,-0.0741636082530022,09122019_996
108,2127165,09:03:00,2019/12/10,382.31,243912.269687238,7714463.88754331,-41.45784,-20.6516725555556,978532.109608264,0.132796093821526,10122019_965
109,2123605,09:32:00,2019/12/10,398.51,244432.512634023,7714818.23235555,-41.452799,-20.6485446666667,978528.531221708,0.151574984192848,10122019_965
110,2118405,09:54:00,2019/12/10,427.03,244959.073617581,7715078.55165944,-41.4477111944444,-20.6462663055556,978523.286560545,0.162100851535797,10122019_965
111,2111.84,10:19:00,2019/12/10,467.2,245545.723886528,7715327.19926042,-41.4420489166667,-20.6441013055556,978516.659354623,0.169691279530525,10122019_965
112,2082.19,10:45:00,2019/12/10,630.2,245682.218231412,7714427.08808999,-41.4408696111111,-20.6522458333333,978486.696487938,0.172332718968391,10122019_965
113,2096.12,11:18:00,2019/12/10,552.02,246128.567359476,7715547.55513028,-41.4364273611111,-20.642191,978500.771091133,0.167818456888199,10122019_965
114,2093.12,11:38:00,2019/12/10,569.13,246745.857184085,7715633.09800062,-41.4304949166667,-20.6415022222222,978497.733244704,0.160887509584427,10122019_965
115,2095425,11:58:00,2019/12/10,557.64,247289.966562472,7715874.69245248,-41.425242,-20.6393945555556,978500.053660759,0.150986045598984,10122019_965
116,2099815,12:23:00,2019/12/10,536.69,247582.465381466,7716041.29735528,-41.4224129722222,-20.6379298611111,978504.475140711,0.134826347231865,10122019_965
117,2096145,12:51:00,2019/12/10,554.46,247633.917995649,7715782.67150328,-41.4219565,-20.6402716388889,978500.745140385,0.112489692866802,10122019_965
118,2092545,13:13:00,2019/12/10,575.4,247719.809253388,7715494.54715029,-41.4211739444444,-20.6428843611111,978497.08794713,0.0924834683537483,10122019_965
119,2088.45,13:33:00,2019/12/10,599.36,247848.780089509,7715275.43273904,-41.4199683333333,-20.6448798611111,978492.930920938,0.0729797556996346,10122019_965
120,2083.38,14:02:00,2019/12/10,623.43,248019.706889689,7715078.01911665,-41.4183571944444,-20.6466850833333,978487.77900199,0.0435202531516552,10122019_965
121,2084075,14:41:00,2019/12/10,626.55,247851.935915907,7714918.0823478,-41.4199891388889,-20.6481064166667,978488.443791263,0.00421771500259638,10122019_965
122,2089925,15:09:00,2019/12/10,581.03,247625.701480115,7716598.49942983,-41.4219186666667,-20.6329053055556,978494.330917294,-0.0219045802950859,10122019_965
123,2088.35,15:31:00,2019/12/10,592.28,248206.922569372,7716651.30814282,-41.4163371666667,-20.6325066666667,978492.721840887,-0.0402589589357376,10122019_965
124,2085.81,15:54:00,2019/12/10,602.34,248702.634356559,7716536.24402702,-41.4115996111111,-20.6336119444444,978490.13944732,-0.0567457228899002,10122019_965
125,2086.29,16:14:00,2019/12/10,595.51,249173.770714969,7716557.01699551,-41.4070783611111,-20.6334874722222,978490.613711455,-0.0684541091322899,10122019_965
126,2069.37,16:36:00,2019/12/10,684.17,249686.974364817,7716899.95495804,-41.402108,-20.6304599722222,978473.505597446,-0.0781890898942947,10122019_965
127,2054.03,16:59:00,2019/12/10,762.98,249950.233998313,7717299.31405962,-41.3995267777778,-20.6268896388889,978457.997594233,-0.0846055001020432,10122019_965
128,2044.73,17:30:00,2019/12/10,815.66,250447.086163216,7717080.09274227,-41.394793,-20.6289349444444,978448.597981844,-0.0870088934898376,10122019_965
129,2138.68,09:27:00,2019/12/11,643.33,252998.964173725,7711453.43613366,-41.3711083333333,-20.6800714722222,978490.44546521,0.134254813194275,11122019_996
130,2132.38,09:56:00,2019/12/11,680.06,252963.04551597,7711734.18358325,-41.3714135277778,-20.6775320833333,978484.131350091,0.1556506305933,11122019_996
131,2126.33,10:24:00,2019/12/11,710.59,252721.768950638,7711866.39809599,-41.3737095833333,-20.6763065555556,978478.062510828,0.170917615294456,11122019_996
132,2124.72,10:46:00,2019/12/11,720.16,252578.430574176,7712074.07765188,-41.3750554722222,-20.6744126388889,978476.450773138,0.178688049316406,11122019_996
133,2113455,11:19:00,2019/12/11,777.33,252573.942979071,7712289.77746212,-41.3750682222222,-20.6724646666667,978465.12696487,0.182816967368126,11122019_996
134,2144565,12:01:00,2019/12/11,622.13,253134.334563655,7711771.27351233,-41.3697651111111,-20.6772198333333,978496.398713011,0.174706980586052,11122019_996
135,2150.87,12:19:00,2019/12/11,592.63,253184.853088022,7712012.90739851,-41.3692466111111,-20.6750449722222,978502.729963394,0.166814237833023,11122019_996
136,2146.73,12:38:00,2019/12/11,611.43,253396.278473615,7712423.98901014,-41.3671608333333,-20.6713615,978498.555644331,0.155829235911369,11122019_996
137,2143.01,13:03:00,2019/12/11,630.73,253515.204179106,7712684.02737455,-41.3659836111111,-20.6690294722222,978494.79626605,0.137653142213821,11122019_996
138,2137.53,13:26:00,2019/12/11,658.69,253659.038666057,7712923.31472489,-41.3645703888889,-20.6668880555556,978489.265547537,0.117757439613342,11122019_996
139,2128.82,13:49:00,2019/12/11,707.87,253599.348888243,7713186.52280513,-41.3651061666667,-20.6645038888889,978480.484708209,0.0955059230327606,11122019_996
140,2128.13,14:08:00,2019/12/11,712.07,253354.378056774,7713333.47179886,-41.3674354722222,-20.6631449444444,978479.770715892,0.0758726671338081,11122019_996
141,2117.95,14:31:00,2019/12/11,756.65,253175.092095431,7713462.37773489,-41.3691371944444,-20.6619575277778,978469.509422153,0.0512517392635345,11122019_996
142,2097.25,15:19:00,2019/12/11,852.97,252873.998498854,7714076.07805505,-41.3719393333333,-20.6563771944444,978448.643158706,0.000263290770817548,11122019_996
143,2113.02,15:54:00,2019/12/11,780.13,253091.697240371,7713735.85993234,-41.3698988333333,-20.6594774722222,978464.465323213,-0.0332681424915791,11122019_996
144,2148.5,16:39:00,2019/12/11,603.58,254297.591114937,7713669.00848617,-41.3583410277778,-20.6602396111111,978500.10487817,-0.0675172507762909,11122019_996
145,2141.75,17:01:00,2019/12/11,639.9,253774.084875065,7713661.47949567,-41.3633636666667,-20.6602388333333,978493.305117672,-0.0794996246695518,11122019_996
146,2194.18,08:53:00,2019/12/12,113.94,251617.985860672,7706604.52865222,-41.3850414444444,-20.7236650555556,978599.812325255,0.0700198262929916,12122019_965
147,2191.97,09:20:00,2019/12/12,113.34,250183.333142761,7708481.05310463,-41.3985415555556,-20.7065323611111,978597.607795902,0.0985351055860519,12122019_965
148,2190.27,09:42:00,2019/12/12,112.1,249808.463466337,7708904.15810806,-41.4020781666667,-20.7026624166667,978595.911765819,0.120194129645824,12122019_965
149,2178315,10:10:00,2019/12/12,155.1,249449.618514992,7709436.80329772,-41.40544525,-20.6978056388889,978583.85288098,0.144569426774979,12122019_965
150,2149485,10:41:00,2019/12/12,299.42,249298.014460406,7710394.33240273,-41.4067633333333,-20.6891407777778,978554.733963034,0.166070133447647,12122019_965
151,2120.75,11:04:00,2019/12/12,447.32,249093.805110108,7711467.84048212,-41.4085694444444,-20.6794218055556,978525.70080489,0.177548602223396,12122019_965
152,2091.73,11:39:00,2019/12/12,600.31,248778.395302631,7712181.34829704,-41.4114934166667,-20.6729379722222,978496.379357313,0.186795696616173,12122019_965
153,2169935,13:04:00,2019/12/12,283.46,246606.382966835,7707697.71758468,-41.4329743611111,-20.7131224444444,978575.409161841,0.166048139333725,12122019_965
154,2163695,13:22:00,2019/12/12,308.86,246927.411237179,7708109.5385437,-41.4298347777778,-20.7094481388889,978569.090615813,0.154345199465752,12122019_965
155,2160855,13:50:00,2019/12/12,326.66,247311.626276532,7708526.86106439,-41.4260883055556,-20.7057326388889,978566.198477435,0.132024958729744,12122019_965
156,2157.53,14:14:00,2019/12/12,326.29,247465.890872599,7708882.13234176,-41.4245571666667,-20.7025461666667,978562.815915941,0.109641581773758,12122019_965
157,2149485,14:40:00,2019/12/12,389.98,246973.853448136,7708727.54806156,-41.4293002222222,-20.7038751666667,978554.658189403,0.0830081701278687,12122019_965
158,2149.84,15:10:00,2019/12/12,370.09,247139.559306949,7709351.13490241,-41.4276206944444,-20.6982679722222,978554.985469944,0.0505398586392403,12122019_965
159,2154.29,15:33:00,2019/12/12,357.66,246835.248800369,7709228.86471044,-41.4305578888889,-20.6993306111111,978559.459188362,0.0254968889057636,12122019_965
160,2154.26,15:54:00,2019/12/12,367.36,246420.874961453,7708806.34660765,-41.4345943888889,-20.7030888333333,978559.407266141,0.00325827160850167,12122019_965
161,2160.17,16:22:00,2019/12/12,343.37,245982.77587436,7708618.76109462,-41.4388247777778,-20.7047228055556,978565.354237032,-0.0244527012109756,12122019_965
162,2163965,16:53:00,2019/12/12,317.18,244795.367333629,7708491.49275035,-41.45023575,-20.7057099444444,978569.164491341,-0.0511297397315502,12122019_965
163,2147685,17:43:00,2019/12/12,379.14,243969.218004437,7708401.10705812,-41.4581753333333,-20.7064128888889,978552.679288062,-0.0820337757468224,12122019_965
164,2154.37,09:34:00,2019/12/13,578.74,246881.063177582,7711337.14486295,-41.4298150833333,-20.6803036666667,978506.186433842,0.0741991549730301,13122019_996
165,2168495,10:05:00,2019/12/13,504.45,246623.21471831,7711308.25429585,-41.4322927777778,-20.6805295833333,978520.422725062,0.106062307953835,13122019_996
166,2173695,10:27:00,2019/12/13,488.15,246430.189390889,7711141.19163438,-41.4341685277778,-20.6820116388889,978525.67319567,0.126697674393654,13122019_996
167,2142.86,10:53:00,2019/12/13,629.94,246279.404633664,7711924.41283273,-41.4355021666667,-20.6749204444444,978494.691384135,0.148018807172775,13122019_996
168,2191.86,11:33:00,2019/12/13,403.14,246337.110219363,7710696.84632284,-41.4351254722222,-20.6860104722222,978543.987597573,0.1724863499403,13122019_996
169,2200.6,11:49:00,2019/12/13,366.13,245903.114413745,7710425.41863575,-41.4393281111111,-20.6884019444444,978552.783042197,0.178962618112564,13122019_996
170,2200015,12:14:00,2019/12/13,376.38,245229.949933461,7710061.06484897,-41.4458388055556,-20.6915996388889,978552.202220244,0.184954479336739,13122019_996
171,2171.57,12:48:00,2019/12/13,496.99,245150.257960141,7711092.80621372,-41.4464539444444,-20.6822745277778,978523.602456239,0.184728965163231,13122019_996
172,2180,13:18:00,2019/12/13,457.29,245053.204153823,7710854.45314861,-41.4474195,-20.6844130833333,978532.072352683,0.176575988531113,13122019_996
173,2182.97,13:45:00,2019/12/13,451.8,244683.006710496,7710410.46717414,-41.45103525,-20.68837075,978535.046890427,0.163262754678726,13122019_996
174,2189575,14:18:00,2019/12/13,422.07,243864.05927679,7709776.58674512,-41.4589839444444,-20.6939811944444,978541.667058182,0.140250146389008,13122019_996
175,2186.29,14:41:00,2019/12/13,430.95,243489.377516043,7709501.52154542,-41.4626186111111,-20.696413,978538.345614371,0.120582446455956,13122019_996
